,MG1655_tpiA,015,016,021,022,025,026,028,030,031,032,034,035,037,038,041,042,043,044,046,049,050,054,055,056,058,059,061,063,064,066,069,070,072,075,076,079,086,090,092,093,095,097,098,100,110,112,114,116,117,118,119,120,125,128,132,133,134,135,136,138,139,140,141,144,146,147,150,152,153,154,155,156,157,163,164,165,168,171,172,173,175,179,181,185,186,187,188,192,193,196,200,201
110,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
112,3,4,5,4,5,6,4,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,6,4,4,4,6,5,6,6,4,4,6,4,5,4,4,4,6,5,4,5,,5,4,4,4,4,4,5,6,4,6,4,5,5,5,4,4,4,4,6,6,5,4,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5
114,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,2,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
116,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
117,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
118,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
119,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
120,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
125,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
128,3,4,5,4,5,6,4,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,6,4,4,4,6,5,6,6,4,4,6,4,5,4,4,4,6,5,4,5,6,5,4,4,4,4,4,5,,4,6,4,5,6,5,4,4,4,4,6,6,5,4,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5
132,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
133,3,4,5,3,5,6,4,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,6,4,4,4,6,5,6,6,4,4,6,4,5,4,4,4,6,5,4,5,6,5,4,4,4,4,4,5,6,4,,4,5,6,5,4,4,4,4,6,6,5,4,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5
134,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
135,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
136,3,4,5,4,5,6,4,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,6,4,4,4,6,5,6,6,4,4,6,4,5,4,4,4,6,5,4,5,5,5,4,4,4,4,4,5,6,4,6,4,5,,5,4,4,4,4,6,6,5,4,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5
138,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,4,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
139,1,2,2,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
140,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
141,1,2,3,2,3,4,2,3,2,2,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
144,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,1,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
146,3,4,5,4,5,6,4,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,6,4,4,4,6,5,6,6,4,4,6,4,5,4,4,4,6,5,4,5,6,5,4,4,4,4,4,5,6,4,6,4,5,6,5,4,4,4,4,,6,5,4,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5
147,3,4,5,4,5,6,4,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,6,4,4,4,6,5,6,6,4,4,6,4,5,3,4,4,6,5,4,5,6,5,4,4,4,4,4,5,6,4,6,4,5,6,5,4,4,4,4,6,,5,4,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5
150,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,3,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
152,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
153,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
154,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
155,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,2,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
156,1,1,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,1,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
157,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
163,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
164,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4
165,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,,3,4,3,4,3,4,3,4,3,3,4,2,3,3,3,4
168,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,2,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,,3,2,3,2,3,2,3,2,2,3,2,2,2,2,3
171,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,,3,4,3,4,3,4,3,3,4,3,3,3,3,4
172,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,,3,2,3,2,3,2,2,3,2,2,2,2,3
173,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,3,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,,3,4,3,4,3,3,4,3,3,3,3,4
175,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,,3,2,3,2,2,3,2,2,2,2,3
179,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,,3,4,3,3,4,3,3,3,3,4
181,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,,3,2,2,3,2,2,2,2,3
185,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,,3,3,4,3,3,3,3,4
186,1,2,3,2,3,4,1,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,,2,3,2,2,2,2,3
187,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,,3,2,2,2,2,3
188,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,4,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,,3,3,3,3,4
192,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,2,2,3,2,3,2,3,2,3,2,2,3,,2,2,2,3
193,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,,2,2,3
196,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,4,3,4,4,2,2,3,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,,2,3
200,1,2,3,2,3,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,2,3,2,4,2,2,2,3,3,4,4,2,2,4,2,3,2,2,2,4,3,2,3,4,3,2,2,2,2,2,3,4,2,4,2,3,4,3,2,2,2,2,4,4,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,,3
201,2,3,4,3,4,5,3,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,3,3,3,5,4,5,5,3,3,5,3,3,3,3,3,5,4,3,4,5,4,3,3,3,3,3,4,5,3,5,3,4,5,4,3,3,3,3,5,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,3,
